Company Name (M.Cap);Tickers;Market Cap (Cr);Market Cap
;BTC-USD;;893000000000
;ETH-USD;;416000000000
;ADA-USD;;79000000000
;BNB-USD;;73000000000
;USDT-USD;;67000000000
;HEX-USD;;65000000000
;SOL1-USD;;52000000000
;XRP-USD;;53000000000
;DOGE-USD;;34000000000
;DOT1-USD;;28000000000
;USDC-USD;;27000000000
;UNI3-USD;;15000000000
;LINK-USD;;13000000000
;BCH-USD;;12000000000
;LTC-USD;;12000000000
;LUNA1-USD;;10000000000
;ICP1-USD;;9000000000
;MATIC-USD;;9000000000
;FIL-USD;;9000000000
;AVAX-USD;;8000000000
;VET-USD;;8000000000
;XLM-USD;;8000000000
;ETC-USD;;7000000000
;THETA-USD;;7000000000
;TRX-USD;;6000000000
