,ticker,market_cap
58,BRK-A,638083137536
318,ORCL,251279998976
477,VZ,229486854144
201,INTC,217090064384
275,MS,190210375680
340,PM,165361090560
347,QCOM,163142647808
171,GS,138651369472
36,AXP,126553186304
428,TGT,119232806912
98,CVS,115422789632
266,MMM,112481443840
239,LMT,98582093824
164,GILD,90224173056
175,HCA,80979918848
356,REGN,72683413504
166,GM,70872965120
140,FDX,70817456128
291,NOC,58588684288
157,GD,56595869696
139,FCX,53055688704
137,F,51492458496
128,EPD,49848520704
377,SCCO,48425795584
282,NEM,47683846144
115,DOW,46327357440
8,AEP,45227696128
412,SRE,42601549824
219,KKR,37570519040
188,HPQ,35869626368
165,GIS,35024621568
78,CMI,34260324352
104,DHI,34014099456
6,ADM,33673834496
297,NUE,33495916544
37,AZO,33119744000
246,LYB,32539105280
233,LEN,32261742592
420,SWK,31142039552
272,MPLX,30071177216
235,LH,29561059328
326,PCAR,29311815680
446,TSN,28540338176
40,BBY,28044814336
491,WY,27472084992
194,IBKR,26883600384
466,VIAC,26863415296
130,ET,26101993472
52,BIO,24116148224
107,DISH,23981998080
309,OKE,23695794176
132,ETR,22619494400
84,COO,22453102592
214,K,21625364480
336,PKI,21357717504
112,DLTR,20874082304
220,KMX,20717187072
148,FOXA,20510027776
186,HOLX,20342331392
361,RJF,19075174400
103,DGX,19040686080
244,LSXMA,18665089024
299,NVR,18186639360
71,CG,17882630144
39,BBWI,17342867456
69,CE,17238380544
66,CAG,16086386688
311,OMC,15810445312
237,LKQ,15017222144
202,IPG,14682025984
481,WHR,14162839552
106,DISCA,14076240896
229,LDOS,14017765376
332,PHM,13855986688
118,DVA,13842825216
414,STLD,13628691456
138,FBHS,13531446272
489,WSM,13462094848
260,MHK,13396497408
393,SJM,13069178880
86,CPB,13046345728
33,ATUS,12921652224
110,DKS,12862077952
451,UHAL,12843501568
30,ATO,12752122880
376,SC,12619926528
212,JLL,12372229120
404,SNX,12252485632
400,SNA,12245906432
269,MOS,12213689344
76,CLF,11948663808
460,UWMC,11910362112
73,CHRW,11865933824
206,IVZ,11479432192
440,TPR,11342357504
55,BLDR,11290764288
483,WLK,11140079616
293,NRG,11120219136
267,MMP,11053628416
47,BG,10967478272
189,HSIC,10949136384
301,NWL,10915764224
379,SCI,10658024448
9,AGCO,10405501952
61,BWA,10344540160
151,FSLR,10000364544
226,LAD,9921446912
116,DOX,9914437632
305,OC,9838602240
450,UGI,9802467328
230,LEA,9520987136
364,RS,9495817216
383,SEE,9176449024
208,JBL,9042918400
210,JEF,9026732032
442,TPX,8999562240
398,SMG,8906445824
221,KNX,8828263424
490,WU,8825878528
384,SEIC,8752416768
92,CROX,8714630144
25,ARW,8433739776
479,WES,8406116864
262,MKSI,8235161600
181,HII,8155385856
429,THC,8124327936
53,BJ,8080673792
319,OSK,7770270720
437,TOL,7765544448
223,KRC,7753507328
18,AN,7607727104
41,BC,7580981248
312,OMF,7506814976
167,GNTX,7457754112
21,APA,7435693056
416,STWD,7400096768
153,FYBR,7373577728
333,PII,7315636224
306,OGE,7140206080
387,SF,7130823680
492,X,7082782208
322,PAG,7052057088
16,AMKR,6944256512
279,MTZ,6822850560
254,MDU,6512205312
236,LITE,6472480768
136,EXP,6464921088
231,LEG,6354362880
430,THO,6349395968
303,NXST,6232379904
471,VNT,6224885760
242,LPX,6116360192
182,HLF,6106884096
65,CACI,6045563904
185,HOG,6027663872
357,REYN,5952960512
190,HUN,5923311616
143,FL,5920646144
348,QDEL,5907277824
317,ORCC,5793059840
56,BPMC,5729122816
88,CR,5703134208
476,VVV,5556592640
434,TKR,5502820864
135,EVR,5492550144
268,MMS,5394150400
127,ELY,5176485888
294,NRZ,5127714304
63,BXMT,4851528192
382,SEB,4832942080
385,SEM,4776102400
391,SHLX,4766674432
395,SLGN,4730982400
394,SLG,4714547712
7,ADS,4711892992
176,HE,4706931712
358,REZI,4600879616
449,UFPI,4551592960
334,PINC,4534265344
467,VIRT,4509567488
90,CRI,4452163072
349,QRTEA,4374455296
369,SAFM,4354116096
350,R,4285755648
353,RCII,4272157952
215,KBH,4271235072
422,SWX,4231678464
240,LOPE,4120041216
331,PFSI,4100647424
27,ASO,4100287744
276,MTH,4090335744
402,SNDR,4075382784
280,MUSA,4067486208
13,ALSN,4038783232
454,UNVR,4028301568
133,ETRN,4026779904
495,XRX,4017719808
234,LGIH,4003051776
245,LXP,3886757120
427,TGNA,3864565504
307,OGS,3853662464
77,CMC,3851548928
283,NEU,3781778176
411,SPWR,3773424896
259,MGY,3750094592
417,SUN,3750087168
168,GOLF,3690850304
253,MDC,3674369024
327,PCH,3666036992
249,MATX,3622382592
74,CIM,3605407744
295,NSIT,3526361344
99,CWH,3523796992
436,TMHC,3486792960
1,ABG,3470620928
227,LCII,3448590080
67,CBRL,3400230400
123,EBS,3394421248
406,SPB,3347654656
300,NWE,3341165824
159,GEF,3320313856
101,DAN,3308316416
179,HI,3304987648
2,ABM,3280035072
478,WERN,3226086144
263,MLHR,3224639232
141,FHI,3180622336
456,URBN,3167098880
225,KTB,3127118592
444,TROX,3122045952
284,NGVT,3114215424
474,VSH,3100339200
290,NNI,3097861888
330,PDCO,3014127104
162,GHC,3006477568
313,OMI,2937000192
119,EAF,2935975680
169,GPI,2914448640
325,PBH,2878449920
248,MAIN,2855589632
487,WOR,2823845120
286,NHI,2812475904
388,SFM,2803388928
142,FIX,2775895552
144,FLGT,2775002112
255,MED,2763705344
370,SAGE,2733544448
93,CRSR,2688500224
380,SCL,2660861184
439,TPH,2625600256
211,JELD,2624404992
289,NMRK,2601479936
3,ABR,2600435712
335,PIPR,2589127424
278,MTX,2587012352
339,PLXS,2567952384
372,SANM,2560182528
328,PCRX,2531700992
298,NUS,2530298368
264,MLI,2511337984
308,OI,2445766144
366,RUSHA,2410317824
480,WGO,2393964288
45,BDN,2392600064
68,CCS,2389258752
120,EAT,2368340736
426,TDS,2367189248
355,REGI,2346481408
464,VGR,2346335232
374,SATS,2336959488
475,VSTO,2322002688
70,CENT,2314664960
462,VCTR,2314138880
320,OTTR,2295461632
42,BCC,2290232576
207,JACK,2273123584
401,SNBR,2191176704
494,XPER,2180242944
363,RLGY,2176623360
23,ARI,2166958080
145,FLWS,2156259584
0,AAWW,2135361920
173,GTN,2123236992
257,MFA,2098684160
371,SAH,2085794944
204,IRWD,2076911360
200,INT,2073350144
453,UNFI,2064096896
178,HEP,2023393664
445,TSE,2015939328
375,SBH,1998423424
54,BKE,1984864128
457,USNA,1978015616
49,BGS,1977844352
396,SLQT,1975267584
32,ATSG,1971568384
