Tickers;View;Confidences
GAZP;0.13;0.9
SBER;0.21;0.9
NVTK;0.05;0.9
GMKN;0.11;0.9
PLZL;0.25;0.8
YNDX;0.05;0.9
CHMF;0.09;0.9
POLY;0.31;0.7
RUAL;0.15;0.9
PIKK;0.05;0.9
PHOR;0.05;0.9
MOEX;0.01;0.6
VSMO;0.05;0.6
AFKS;0.49;0.6
SBERP;0.21;0.9
RSTI;0.03;0.7
NKNC;0.03;0.7
RASP;0.04;0.6
DSKY;0.25;0.8
MVID;0.41;0.6
APTK;0.02;0.6
GCHE;-0.06;0.5
CHEP;0.02;0.7
OGKB;0.05;0.7
YAKG;0.03;0.7
LKOH;0.05;0.9
SIBN;0.05;0.9
NLMK;0.05;0.9
ALRS;0.05;0.9
MAGN;0.05;0.9
AKRN;0.05;0.9
ROSN;0.05;0.9
TATN;0.05;0.9
UNAC;0.05;0.9
